09:58:04 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence      
09:58:09 | 201 |            0s |       127.0.0.1 | POST    | /api/file             
09:58:44 | 400 |            0s |       127.0.0.1 | POST    | /api/file             
09:59:01 | 201 |            0s |       127.0.0.1 | POST    | /api/file             
10:09:19 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence      
10:09:23 | 201 |            0s |       127.0.0.1 | POST    | /api/file             
10:19:12 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence      
10:19:17 | 201 |            0s |       127.0.0.1 | POST    | /api/file             
10:19:40 | 101 |            0s |       127.0.0.1 | GET     | /ws/file/c5260c6d-4f48-4f17-8a49-3d77ab99f396 
10:19:54 | 101 |            0s |       127.0.0.1 | GET     | /ws/file/eb25ed8e-e05a-417f-a537-0a870fea6f1c 
10:20:16 | 201 |       223.9µs |       127.0.0.1 | POST    | /api/folder           
10:20:36 | 200 |      1.0112ms |       127.0.0.1 | POST    | /api/file/move        
10:20:55 | 101 |            0s |       127.0.0.1 | GET     | /ws/file/eb25ed8e-e05a-417f-a537-0a870fea6f1c 
10:28:06 | 101 |            0s |       127.0.0.1 | GET     | /ws/arborescence      
10:28:19 | 201 |            0s |       127.0.0.1 | POST    | /api/file             
